Filet de poulet,Filet de poulet
Filet de poulet,Escalope de poulet
Filet de poulet,Filets de poulet
Filet de poulet,Escalopes de poulet
Cuisse de poulet,Cuisse de poulet
Poulet fermier,Poulet entier fermier
Poulet fermier,Poulet fermier
Nuggets,Nuggets
Nuggets,Nuggets de poulet
Cordon bleu,Cordon bleu
Escalopes de dinde,Escalopes de dinde
Blanc de dinde (tranches),Blanc de dinde
Blanc de dinde (tranches),Blanc de dinde halal
Steak haché bœuf,Steaks hachés
Steak haché bœuf,Steaks hachés pur boeuf
Rôti de bœuf,Rôti de boeuf
Entrecôte bœuf,Entrecôte de boeuf
Escalope de veau,Escalope de veau
Sauté de veau,Sauté de veau
Sauté de veau,Sauté de veau à mijoter
Sauté de veau,Sauté de veau blanquette
Magret de canard,Magret de canard
Magret de canard,Marget de canard du sud-ouest
Confit de canard,Confit de canard
Confit de canard,Cuisses de canard confites
Rôti de porc,Rôti de porc
Rôti de porc,Filet de rôti de porc
Filet mignon de porc,Filet mignon de porc
Côtes de porc,Côte de porc
Côtes de porc,Côtes de porc
Jambon blanc,Jambon
Jambon cru,Jambon cru
Jambon cru,Jambon de Bayonne
Jambon cru,Jambon Serrano
Lardons,Lardons fumés
Lardons,Lardons nature
Poitrine fumée / bacon,Bacon fumé
Poitrine fumée / bacon,Poitrine
Poitrine fumée / bacon,Bacon
Rillettes,Rillettes porc
Rillettes,Rillettes du Mans
Saucisse de Strasbourg / Knacki,Saucisses de Strasbourg
Saucisse de Strasbourg / Knacki,Saucisses Knacks
Chipolatas,Chipolatas
Chipolatas,Chipolatas supérieures
Merguez,Merguez
Saucisson sec,Saucisson
Saucisson sec,Saucisson sec
Gigot d'agneau,Gigot d'agneau
Gigot d'agneau,Gigot d'agneau en tranche
Gigot d'agneau,Gigot d'agneau raccourci
Côtes d'agneau,Côte d'agneau
Lapin,Filets de lapin
Thon (conserve),Thon
Thon (conserve),Thon entier
Thon frais,Pavé de thon
Pavé de saumon,Pavé de saumon
Pavé de saumon,Pavés de saumon
Saumon fumé,Saumon fumé
Saumon fumé,Saumon
Truité fumée,Truite fumée
Dos de cabillaud,Dos de cabillaud
Filet de limande,Limande
Filet de limande,Filet de limande
Filet de limande,Filet de limande meunière
Maquereau (conserve),Filets de maquereaux
Maquereau frais,Maquereaux frais
Sardines (conserve),Sardines conserve
Sardines (conserve),Sardines à l'huile
Sardines fraiches,Sardines frais
Colin pané,Colin
Colin pané,Colin pané
Crevettes entières,Crevettes entières cuites
Crevettes entières,Crevettes
Noix de saint-jacques,Noix de Saint Jacques
Noix de saint-jacques,Noix de Saint-Jacques sans corail
Noix de saint-jacques,Noix de Saint Jacques avec corail
Bâtonnets de surimi,Surimi
Bâtonnets de surimi,Bâtonnets de surimi
Œufs,Oeufs frais
Fromage blanc nature,Fromage blanc nature
Petits‑suisses,Petits suisses
Petits‑suisses,Petit suisse
Yaourt nature 0%,Yaourt nature 0%
Skyr,Skyr
Lait demi écrémé,Lait demi-écrémé
Lait demi écrémé,Lait demi-écrémé UHT
Lait entier,Lait entier
Parmesan rapé,Parmigiano reggiano râpé
Emmental,Emmental
Camembert,Camembert
Fromage à raclette,Raclette
Fromage à raclette,Fromage à raclette
Mozzarella,Mozzarella
Bûche de chèvre,Bûche de chèvre
Comté,Comté
Comté,Comté AOP
Coulommiers,Coulommiers
Brie,Pointe de brie
Roquefort,Roquefort
Roquefort,Roquefort AOP
Feta,Feta grecque
Lentilles vertes,Lentilles vertes
Lentilles vertes (conserve),Lentilles
Lentilles blondes,Lentilles blondes
Lentilles corail,Lentilles corail
Pois chiches,Pois chiches secs
Pois chiches (conserve),Pois chiches
Haricots rouges,Haricots rouges secs
Haricots rouges (conserve),Haricots rouges
Flageolets,Flageolets secs
Flageolets (conserve),Flageolets
Haricots blancs,Haricots blancs secs
Haricots blancs (conserve),Haricots blancs
Haricots noirs,Haricots noirs
Haricots noirs (conserve),Haricots noirs
Fèves,Fèves
Lupin (conserve),Lupins
Pois cassés,Pois cassés
Falafels,Falafels
Falafels,Falafels pois chiches
Galettes de légumineuses,Galettes légumineuses
Tofu (ferme) nature,Tofu nature
Tofu (ferme) fumé,Tofu fumé
Quinoa,Quinoa
Seitan,Seitan
Avoine (flocons),Flocons d'avoine
Sarrasin,Sarrasin
Graines de chia,Graines de chia
Graines de courge,Graines de courge
Graines de tournesol,Graines de tournesol
Graines de lin,Graines de lin brun
Pignons de pin,Pignons de pin
Noix de cajou,Noix de cajou
Amandes,Amandes
Pistaches,Pistaches
Cacahuètes,Cacahuètes
Beurre de cacahuète,Beurre de cacahuète
Noisettes,Noisettes
Isolat de whey,Whey
Barres protéinées,Barre protéinée
Barres protéinées,Barres de céréales protéinées
Steak végétal,Haché végétal
Steak végétal,Steak végétal
Steak végétal surgelé,Green Cuisine Steak végétal protéines de pois
Nuggets végétaux,Nuggets Végétaux
Nuggets végétaux (surgelé),Green Cuisine Nuggets végétaux
Simili thon,Vuna à base de protéines de pois goût similaire au thon
Escalopes végétales panées,Escalopes végétales
Saucisses végétales,Saucisse végétale
Lardons végétaux,Lardons végétaux
Jambon végétal,Jambon végétal
Boulettes végétales,Boulettes végétales
Boulettes végétales (surgelé),Boulettes végétal
Knax végétales,Knax végétales
Knax végétales,Knacki saucisse végétale
Aiguillettes végétales,Aiguillettes végétales
Aiguillettes végétales,Emincés végétal
Bâtonnets "poisson" panés végétaux,Batonnets panés végétaux
Bâtonnets "poisson" panés végétaux (conserve),Green Cuisine bâtonnets végétal saveur océane
Galette végétale (céréales),Galettes végétales
Galette végétale (céréales),Pavé végétal
Galette végétale (céréales) (surgelé),Galettes à poeler Bonduelle
