Filet de poulet,Filet de poulet
Cuisse de poulet,Cuisse de poulet
Poulet fermier,Poulet entier fermier
Nuggets,Nuggets poulet
Cordon bleu,Cordon bleu
Escalopes de dinde,Escalope de dinde
Blanc de dinde (tranches),Tranches blanc de dinde
Steak haché boeuf,Steak haché boeuf
Rôti de boeuf,Rôti de boeuf
Entrecôte boeuf,Entrecôte de boeuf
Escalope de veau,Escalope veau
Magret de canard,Magret de canard
Confit de canard,Canard confit cuisse
Rôti de porc,Rôti de porc tranches
Filet mignon de porc,Filet mignon porc
Côtes de porc,Côte de porc échine
Côtes de porc,Côte de porc première
Jambon blanc,Jambon blanc
Jambon cru,Tranches jambon cru
Lardons,Lardons
Poitrine fumée / bacon,Poitrine fumée
Rillettes,Rillettes porc
Saucisse de Strasbourg / Knacki,Saucisses de Strasbourg
Chipolatas,Chipolata barquette
Merguez,Merguez barquette
Saucisson sec,Saucisson sec
Gigot d'agneau,Gigot d'agneau
Côtes d'agneau,Côte d'agneau
Thon (conserve),Conserve thon entier
Pavé de saumon,Pavé de saumon
Saumon fumé,Saumon fumé tranches
Truité fumée,Truite fumée tranches
Dos de cabillaud,Dos de cabillaud
Filet de limande,Filet de limande
Maquereau (conserve),Filets de maquereaux conserve
Maquereau frais,Filets de maquereaux fumés NORDLAND
Sardines (conserve),Sardines conserve
Colin pané,Panés de colin
Crevettes entières,Crevettes entières
Noix de saint-jacques,Noix de saint jacques avec corail
Noix de saint-jacques,Noix de saint jacques sans corail
Bâtonnets de surimi,Bâtonnets surimi
Œufs,Boîte oeufs frais
Fromage blanc nature,Fromage blanc nature
Petits-suisses,Petits suisses nature
Yaourt nature 0%,Yaourt nature 0%
Skyr,Skyr
Lait demi ecrémé,Lait UHT demi écrémé
Lait entier,Lait UHT entier
Parmesan rapé,Parmesan rapé
Emmental,Emmental français
Camembert,Camembert pasteurisé
Fromage à raclette,Fromage à raclette
Mozzarella,Mozzarella pasteurisé
Bûche de chèvre,Chèvre bûche
Comté,Comté
Coulommiers,Coulommiers
Brie,Brie
Roquefort,Roquefort lait cru
Feta,Feta grecque
Lentilles vertes,Lentilles vertes étui
Lentilles vertes (conserve),Lentilles préparées
Lentilles blondes,Lentilles blondes
Lentilles corail,Lentilles corail paquet
Lentilles corail,Lentilles corail étui
Pois chiches,Pois chiches étui
Pois chiches,Pois chiches secs
Pois chiches (conserve),Pois chiches boite
Haricots rouges (conserve),Haricots rouges boite
Flageolets,Flageolets sachet
Flageolets (conserve),Flageolets conserve
Haricots blancs,Haricots blancs étui
Haricots blancs (conserve),Haricots blancs conserve
Haricots noirs (conserve),Haricot noir cuit COMPAL
Haricots noirs (conserve),Haricots noirs D'AUCY
Pois cassés,Pois cassés boite
Falafels,Falafels pois chiches
Galettes de légumineuses,Galette Boulgour Epeautre Légumes CEREAL BIO
Galettes de légumineuses,Galette Epinards & Pignons CEREAL BIO
Tofu (ferme) nature,Tofu Nature CEREAL BIO
Tofu (ferme) fumé,Tofu fumé au bois de hêtre CEREAL Bio
Quinoa,Quinoa étui
Quinoa,Quinoa sachet
Quinoa,U BIO Trio quinoa
Avoine (flocons),Flocons avoine quaker
Avoine (flocons),U bio flocons avoine paquet
Graines de chia,Graine de Chia Seeberger
Graines de chia,Graines chia bio SUPER ME
Graines de courge,Graines de courges bio SUPER ME
Graines de courge,Graines de courge bio MONFOURNIL
Graines de tournesol,Graines de tournesol bio
Graines de tournesol,Graines de tournesol grillées
Pignons de pin,Pignons de pin U
Pignons de pin,Pignons de pin vahiné
Noix de cajou,Noix de cajou sachet
Amandes,Amandes décortiquées
Pistaches,Pistaches grillées
Cacahuètes,Cacahuètes grillées
Beurre de cacahuète,Beurre de cacahuète pot
Noisettes,Noisettes décortiquées
Barres protéinées,Barre protéinée
Steak végétal,Steaks végétaux et gourmands HAPPYVORE
Steak végétal,Végétal Le Gourmand soja, poivre et persil GARDEN GOURMET
Steak végétal,Sensational Pavé Cru Nature Soja GARDEN GOURMET VEGETAL
Nuggets végétaux,Nuggets végétaux
Escalopes végétales panées,Suprêmes panés végétaux et gourmands HAPPYVORE
Saucisses végétales,Saucisses végétales
Lardons végétaux,Allumettes végétaux et gourmands HAPPYVORE
Jambon végétal,Jambon végétal
Boulettes végétales,Boulettes végétales
Knax végétales,Saucisses Knaggies 100% végétal - BETTER BALANCE
Knax végétales,Saucisses Knacki Végétale x6 HERTA
Aiguillettes végétales,Aiguillettes végétales
Galette végétale (céréales),Pavé végétarien
