Filet de poulet,Filet de poulet blanc
Cuisse de poulet,Cuisses poulet
Poulet fermier,1 poulet fermier
Nuggets,Nuggets poulet
Cordon bleu,Cordon bleu
Escalopes de dinde,escalopes dinde 240g
Blanc de dinde (tranches),Blanc de dinde
Steak haché boeuf,Steak haché
Rôti de boeuf,Rôti de boeuf
Entrecôte boeuf,entrecôte
Sauté de veau,Sauté de veau
Magret de canard,Magret canard
Confit de canard,Confit de canard
Rôti de porc,Rôti porc
Filet mignon de porc,Filet mignon
Côtes de porc,côte porc
Jambon blanc,Jambon porc
Jambon cru,jambon sec igp
Lardons,lardons fumés
Poitrine fumée / bacon,Poitrine fumée
Rillettes,Rillettes porc
Saucisse de Strasbourg / Knacki,saucisse de strasbourg
Chipolatas,chipolatas viande
Merguez,merguez
Saucisson sec,saucisson sec
Lapin,Filets de lapin
Thon (conserve),Thon entier
Pavé de saumon,pavé de saumon
Saumon fumé,saumon tranches
Truité fumée,truite fumée
Dos de cabillaud,dos cabillaud
Filet de limande,limande
Maquereau (conserve),maquereaux
Sardines (conserve),sardines huile
Colin pané,colin pané
Crevettes entières,crevettes poissonnerie
Anchois,anchois
Noix de saint-jacques,Noix de saint-jacques sans corail
Noix de saint-jacques,noix de saint-jacques nrt
Bâtonnets de surimi,batonnets surimi
Œufs,6 oeufs frais plein air
Fromage blanc nature,fromage blanc nature
Petits-suisses,petits-suisses nature
Yaourt nature 0%,Yaourt nature 0%
Skyr,skyr nature
Lait demi ecrémé,lait demi écrémé
Lait entier,bouteille lait entier
Parmesan rapé,parmesan rapé
Emmental,emmental français
Camembert,camembert 250g
Fromage à raclette,Fromage à raclette
Mozzarella,mozzarella 125g
Bûche de chèvre,Chèvre bûche
Comté,comté mois
Coulommiers,Coulommiers
Brie,Brie
Roquefort,roquefort aop
Feta,Feta grecque
Lentilles vertes,Lentilles vertes
Lentilles vertes (conserve),lentilles conserve
Lentilles blondes,lentilles blondes
Lentilles corail,Lentilles corail
Pois chiches (conserve),Pois chiches
Haricots rouges (conserve),Haricots rouges
Flageolets (conserve),Flageolets
Haricots blancs (conserve),haricots blancs
Pois cassés,pois cassés notre jardin 500g
Falafels,Falafels
Galettes de légumineuses,galettes végé
Tofu (ferme) nature,tofu nature
Tofu (ferme) fumé,tofu fumé
Quinoa,quinoa facile
Quinoa,quinoa gourmand
Avoine (flocons),flocons d'avoine
Graines de courge,Graines de courge
Graines de lin,Graines de lin
Pignons de pin,Pignons de pin
Noix de cajou,noix de cajou
Amandes,Amandes décortiquées
Pistaches,Pistaches grillées
Cacahuètes,cacahuètes grillées
Beurre de cacahuète,Beurre de cacahuète
Noisettes,noisettes décortiquées
Barres protéinées,Barres protéinées
Steak végétal,steak végétal
Nuggets végétaux,Nuggets végétaux
Escalopes végétales panées,Panés végétal Better Balance 160g
Saucisses végétales,Saucisses végétales
Boulettes végétales,Boulettes végétales
Galette végétale (céréales),galette végétale
